State,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1 mil population,Deaths/1 mil population ,Total Tests,Tests/1 mil population,Population
Alabama,1587224,20776,1515508.0,50940.0,323713,4237,8795798,1793895,4903185
Alaska,288500,1397,285393.0,1710.0,394371,1910,4648381,6354197,731545
Arizona,2384521,32311,2329469.0,22741.0,327602,4439,21654295,2975015,7278717
Arkansas,989853,12729,970547.0,6577.0,328004,4218,7874310,2609285,3017804
California,11846749,98873,11410470.0,337406.0,299825,2502,193239047,4890614,39512223
Colorado,1736198,14582,1685991.0,35625.0,301489,2532,20998161,3646314,5758736
Connecticut,956351,11858,919568.0,24925.0,268240,3326,16384702,4595619,3565287
Delaware,323151,3218,314916.0,5017.0,331858,3305,1026007,1053651,973764
Florida,7338503,83906,7194763.0,59834.0,341680,3907,65126036,3032258,21477737
Georgia,2984421,41417,2914300.0,28704.0,281087,3901,28006378,2637775,10617423
Hawaii,373514,1765,366574.0,5175.0,263805,1247,4101166,2896566,1415872
Idaho,512726,5320,500916.0,6490.0,286910,2977,3236123,1810859,1787065
Illinois,3969832,40678,3855438.0,73716.0,313280,3210,57898053,4569040,12671821
Indiana,2010174,25558,1776269.0,208347.0,298590,3796,21512168,3195405,6732219
Iowa,1028015,10463,993753.0,23799.0,325830,3316,8492575,2691723,3155070
Kansas,919598,9753,894121.0,15724.0,315654,3348,5991775,2056687,2913314
Kentucky,1672321,17734,1616177.0,38410.0,374316,3969,13675281,3060940,4467673
Louisiana,1521203,18394,1485223.0,17586.0,327225,3957,17545616,3774230,4648794
Maine,308350,2812,300470.0,5068.0,229391,2092,5895547,4385876,1344212
Maryland,1330123,16074,1282837.0,31212.0,220012,2659,24090277,3984709,6045680
Massachusetts,2166835,23097,2127538.0,16200.0,314376,3351,49044028,7115561,6892503
Michigan,3008261,41001,2918698.0,48562.0,301222,4105,28265982,2830318,9986857
Minnesota,1736893,14320,,,307980,2539,24036836,4262128,5639632
Mississippi,960923,13112,931685.0,16126.0,322875,4406,7063623,2373410,2976149
Missouri,1724955,22208,1673569.0,29178.0,281055,3618,14632189,2384091,6137428
Montana,323951,3623,319194.0,1134.0,303104,3390,2789012,2609534,1068778
Nebraska,553378,4684,535671.0,13023.0,286071,2421,5506012,2846355,1934408
Nevada,878223,11778,848791.0,17654.0,285123,3824,6875532,2232203,3080156
New Hampshire,370096,2879,364210.0,3007.0,272187,2117,4845153,3563370,1359711
New Jersey,2958721,35621,2789073.0,134027.0,333107,4010,33202632,3738113,8882190
New Mexico,661596,8859,637113.0,15624.0,315522,4225,8344841,3979743,2096829
New York,6806108,75705,6667047.0,63356.0,349864,3892,125820459,6467734,19453561
North Carolina,3359798,27699,,,320344,2641,26356209,2512967,10488084
North Dakota,280043,2414,276916.0,713.0,367481,3168,2462480,3231338,762062
Ohio,3321463,41033,3233780.0,46650.0,284150,3510,24522835,2097923,11689100
Oklahoma,1255673,15397,1231114.0,9162.0,317332,3891,5473577,1383274,3956971
Oregon,942121,9024,912323.0,20774.0,223371,2140,12508506,2965691,4217737
Pennsylvania,3431861,49034,3351897.0,30930.0,268072,3830,29858030,2332296,12801989
Rhode Island,441692,3777,433188.0,4727.0,416942,3565,8285215,7820955,1059361
South Carolina,1760204,18811,1711470.0,29923.0,341873,3654,18219458,3538642,5148714
South Dakota,272367,3124,,,307878,3531,2331003,2634917,884659
Tennessee,2440049,28589,,,357298,4186,14267963,2089266,6829174
Texas,8235020,92462,8018784.0,123774.0,284007,3189,73904384,2548789,28995881
Utah,1077051,5206,1063561.0,8284.0,335953,1624,9406861,2934181,3205958
Vermont,148835,791,146273.0,1771.0,238522,1268,4162820,6671304,623989
Virginia,2213867,22687,2142475.0,48705.0,259371,2658,19172533,2246206,8535519
Washington,1889201,15123,1854368.0,19710.0,248093,1986,18265316,2398631,7614893
West Virginia,628901,7749,619983.0,1169.0,350920,4324,7203896,4019702,1792147
Wisconsin,1969998,15897,1923790.0,30311.0,338346,2730,18908327,3247495,5822434
Wyoming,182198,1950,178987.0,1261.0,314808,3369,1549423,2677147,578759
