State,Race and Hispanic Origin Group,COVID-19 Deaths,Population,COVID-19 Deaths per Million, 
Alabama,Hispanic or Latino,12,217181,55.25,
Alabama,Non-Hispanic American Indian or Alaska Native,0,30144,0,
Alabama,Non-Hispanic Asian,0,79457,0,
Alabama,Non-Hispanic Black,487,1321149,368.62,
Alabama,Non-Hispanic White,515,3239940,158.95,
Alaska,Hispanic or Latino,0,53288,0,
Alaska,Non-Hispanic American Indian or Alaska Native,0,120338,0,
Alaska,Non-Hispanic Asian,0,62592,0,
Alaska,Non-Hispanic Black,0,32613,0,
Alaska,Non-Hispanic White,0,468607,0,
Arizona,Hispanic or Latino,440,2266343,194.15,
Arizona,Non-Hispanic American Indian or Alaska Native,317,296309,1069.83,
Arizona,Non-Hispanic Asian,0,278501,0,
Arizona,Non-Hispanic Black,42,353248,118.9,
Arizona,Non-Hispanic White,739,3977245,185.81,
Arkansas,Hispanic or Latino,10,233187,42.88,
Arkansas,Non-Hispanic American Indian or Alaska Native,0,25616,0,
Arkansas,Non-Hispanic Asian,0,61834,0,
Arkansas,Non-Hispanic Black,44,481001,91.48,
Arkansas,Non-Hispanic White,149,2212187,67.35,
California,Hispanic or Latino,2555,15540142,164.41,
California,Non-Hispanic American Indian or Alaska Native,0,207399,0,
California,Non-Hispanic Asian,876,6247617,140.21,
California,Non-Hispanic Black,516,2446372,210.92,
California,Non-Hispanic White,1839,15115515,121.66,
Colorado,Hispanic or Latino,381,1235117,308.47,
Colorado,Non-Hispanic American Indian or Alaska Native,0,43571,0,
Colorado,Non-Hispanic Asian,48,215851,222.38,
Colorado,Non-Hispanic Black,111,264591,419.52,
Colorado,Non-Hispanic White,989,3936434,251.24,
Connecticut,Hispanic or Latino,357,589809,605.28,
Connecticut,Non-Hispanic American Indian or Alaska Native,0,9566,0,
Connecticut,Non-Hispanic Asian,37,177966,207.9,
Connecticut,Non-Hispanic Black,584,387134,1508.52,
Connecticut,Non-Hispanic White,2804,2408190,1164.36,
Delaware,Hispanic or Latino,0,91974,0,
Delaware,Non-Hispanic American Indian or Alaska Native,0,3497,0,
Delaware,Non-Hispanic Asian,0,41298,0,
Delaware,Non-Hispanic Black,115,221211,519.87,
Delaware,Non-Hispanic White,356,609191,584.38,
District of Columbia,Hispanic or Latino,62,79249,782.34,
District of Columbia,Non-Hispanic American Indian or Alaska Native,0,1829,0,
District of Columbia,Non-Hispanic Asian,0,32947,0,
District of Columbia,Non-Hispanic Black,426,323515,1316.79,
District of Columbia,Non-Hispanic White,53,264915,200.06,
Florida,Hispanic or Latino,842,5562417,151.37,
Florida,Non-Hispanic American Indian or Alaska Native,0,60736,0,
Florida,Non-Hispanic Asian,32,675218,47.39,
Florida,Non-Hispanic Black,697,3415924,204.04,
Florida,Non-Hispanic White,1610,11585030,138.97,
Georgia,Hispanic or Latino,99,1026737,96.42,
Georgia,Non-Hispanic American Indian or Alaska Native,0,27617,0,
Georgia,Non-Hispanic Asian,12,473221,25.36,
Georgia,Non-Hispanic Black,1037,3391353,305.78,
Georgia,Non-Hispanic White,1070,5600547,191.05,
Hawaii,Hispanic or Latino,0,151357,0,
Hawaii,Non-Hispanic American Indian or Alaska Native,0,3564,0,
Hawaii,Non-Hispanic Asian,0,866118,0,
Hawaii,Non-Hispanic Black,0,37734,0,
Hawaii,Non-Hispanic White,0,361718,0,
Idaho,Hispanic or Latino,0,222908,0,
Idaho,Non-Hispanic American Indian or Alaska Native,0,22408,0,
Idaho,Non-Hispanic Asian,0,33263,0,
Idaho,Non-Hispanic Black,0,18483,0,
Idaho,Non-Hispanic White,79,1457146,54.22,
Illinois,Hispanic or Latino,1388,2214142,626.88,
Illinois,Non-Hispanic American Indian or Alaska Native,0,25620,0,
Illinois,Non-Hispanic Asian,313,768459,407.31,
Illinois,Non-Hispanic Black,1706,1859338,917.53,
Illinois,Non-Hispanic White,2871,7873521,364.64,
Indiana,Hispanic or Latino,89,475237,187.27,
Indiana,Non-Hispanic American Indian or Alaska Native,0,18836,0,
Indiana,Non-Hispanic Asian,10,175146,57.1,
Indiana,Non-Hispanic Black,490,685156,715.17,
Indiana,Non-Hispanic White,1902,5337503,356.35,
Iowa,Hispanic or Latino,35,194432,180.01,
Iowa,Non-Hispanic American Indian or Alaska Native,0,10768,0,
Iowa,Non-Hispanic Asian,0,91737,0,
Iowa,Non-Hispanic Black,10,139612,71.63,
Iowa,Non-Hispanic White,567,2719596,208.49,
Kansas,Hispanic or Latino,22,351180,62.65,
Kansas,Non-Hispanic American Indian or Alaska Native,0,28678,0,
Kansas,Non-Hispanic Asian,0,97993,0,
Kansas,Non-Hispanic Black,54,192670,280.27,
Kansas,Non-Hispanic White,154,2240984,68.72,
Kentucky,Hispanic or Latino,0,171933,0,
Kentucky,Non-Hispanic American Indian or Alaska Native,0,9987,0,
Kentucky,Non-Hispanic Asian,0,78999,0,
Kentucky,Non-Hispanic Black,84,393469,213.49,
Kentucky,Non-Hispanic White,438,3814014,114.84,
Louisiana,Hispanic or Latino,62,243811,254.3,
Louisiana,Non-Hispanic American Indian or Alaska Native,0,32545,0,
Louisiana,Non-Hispanic Asian,0,89587,0,
Louisiana,Non-Hispanic Black,1543,1531233,1007.68,
Louisiana,Non-Hispanic White,1251,2762802,452.8,
Maine,Hispanic or Latino,0,22850,0,
Maine,Non-Hispanic American Indian or Alaska Native,0,10543,0,
Maine,Non-Hispanic Asian,0,18158,0,
Maine,Non-Hispanic Black,0,25099,0,
Maine,Non-Hispanic White,93,1261754,73.71,
Maryland,Hispanic or Latino,370,628433,588.77,
Maryland,Non-Hispanic American Indian or Alaska Native,0,18020,0,
Maryland,Non-Hispanic Asian,134,425532,314.9,
Maryland,Non-Hispanic Black,1396,1856783,751.84,
Maryland,Non-Hispanic White,1442,3113950,463.08,
Massachusetts,Hispanic or Latino,496,847223,585.44,
Massachusetts,Non-Hispanic American Indian or Alaska Native,0,15575,0,
Massachusetts,Non-Hispanic Asian,219,506383,432.48,
Massachusetts,Non-Hispanic Black,639,536502,1191.05,
Massachusetts,Non-Hispanic White,6102,4996466,1221.26,
Michigan,Hispanic or Latino,124,519022,238.91,
Michigan,Non-Hispanic American Indian or Alaska Native,0,71261,0,
Michigan,Non-Hispanic Asian,54,359354,150.27,
Michigan,Non-Hispanic Black,2284,1455796,1568.9,
Michigan,Non-Hispanic White,2924,7590482,385.22,
Minnesota,Hispanic or Latino,36,309283,116.4,
Minnesota,Non-Hispanic American Indian or Alaska Native,0,68556,0,
Minnesota,Non-Hispanic Asian,33,302349,109.15,
Minnesota,Non-Hispanic Black,105,406460,258.33,
Minnesota,Non-Hispanic White,1117,4524531,246.88,
Mississippi,Hispanic or Latino,0,100168,0,
Mississippi,Non-Hispanic American Indian or Alaska Native,57,15486,3680.74,
Mississippi,Non-Hispanic Asian,0,34820,0,
Mississippi,Non-Hispanic Black,520,1133243,458.86,
Mississippi,Non-Hispanic White,430,1702813,252.52,
Missouri,Hispanic or Latino,0,263265,0,
Missouri,Non-Hispanic American Indian or Alaska Native,0,33980,0,
Missouri,Non-Hispanic Asian,0,148381,0,
Missouri,Non-Hispanic Black,330,755269,436.93,
Missouri,Non-Hispanic White,555,4925557,112.68,
Montana,Hispanic or Latino,0,42503,0,
Montana,Non-Hispanic American Indian or Alaska Native,0,70336,0,
Montana,Non-Hispanic Asian,0,11466,0,
Montana,Non-Hispanic Black,0,9233,0,
Montana,Non-Hispanic White,0,928767,0,
Nebraska,Hispanic or Latino,39,215872,180.66,
Nebraska,Non-Hispanic American Indian or Alaska Native,0,17816,0,
Nebraska,Non-Hispanic Asian,0,55198,0,
Nebraska,Non-Hispanic Black,0,106038,0,
Nebraska,Non-Hispanic White,156,1534344,101.67,
Nevada,Hispanic or Latino,95,881148,107.81,
Nevada,Non-Hispanic American Indian or Alaska Native,0,30010,0,
Nevada,Non-Hispanic Asian,55,292239,188.2,
Nevada,Non-Hispanic Black,54,305687,176.65,
Nevada,Non-Hispanic White,214,1525308,140.3,
New Hampshire,Hispanic or Latino,0,52663,0,
New Hampshire,Non-Hispanic American Indian or Alaska Native,0,3850,0,
New Hampshire,Non-Hispanic Asian,0,42714,0,
New Hampshire,Non-Hispanic Black,0,23340,0,
New Hampshire,Non-Hispanic White,327,1233891,265.02,
New Jersey,Hispanic or Latino,2849,1839359,1548.91,
New Jersey,Non-Hispanic American Indian or Alaska Native,0,16706,0,
New Jersey,Non-Hispanic Asian,828,901679,918.29,
New Jersey,Non-Hispanic Black,2434,1194816,2037.13,
New Jersey,Non-Hispanic White,7362,4955960,1485.48,
New Mexico,Hispanic or Latino,46,1029233,44.69,
New Mexico,Non-Hispanic American Indian or Alaska Native,275,189915,1448.02,
New Mexico,Non-Hispanic Asian,0,36924,0,
New Mexico,Non-Hispanic Black,0,46199,0,
New Mexico,Non-Hispanic White,118,793157,148.77,
New York,Hispanic or Latino,7806,3754130,2079.31,
New York,Non-Hispanic American Indian or Alaska Native,0,70498,0,
New York,Non-Hispanic Asian,2406,1778467,1352.85,
New York,Non-Hispanic Black,7724,2954965,2613.91,
New York,Non-Hispanic White,12505,10984149,1138.46,
North Carolina,Hispanic or Latino,54,997349,54.14,
North Carolina,Non-Hispanic American Indian or Alaska Native,0,123402,0,
North Carolina,Non-Hispanic Asian,0,342753,0,
North Carolina,Non-Hispanic Black,342,2296309,148.93,
North Carolina,Non-Hispanic White,571,6623807,86.2,
North Dakota,Hispanic or Latino,0,29529,0,
North Dakota,Non-Hispanic American Indian or Alaska Native,0,41564,0,
North Dakota,Non-Hispanic Asian,0,14527,0,
North Dakota,Non-Hispanic Black,0,27766,0,
North Dakota,Non-Hispanic White,48,646691,74.22,
Ohio,Hispanic or Latino,12,460877,26.04,
Ohio,Non-Hispanic American Indian or Alaska Native,0,30662,0,
Ohio,Non-Hispanic Asian,0,308024,0,
Ohio,Non-Hispanic Black,443,1578864,280.58,
Ohio,Non-Hispanic White,1926,9311015,206.85,
Oklahoma,Hispanic or Latino,0,429078,0,
Oklahoma,Non-Hispanic American Indian or Alaska Native,17,376424,45.16,
Oklahoma,Non-Hispanic Asian,0,103821,0,
Oklahoma,Non-Hispanic Black,0,335441,0,
Oklahoma,Non-Hispanic White,267,2698315,98.95,
Oregon,Hispanic or Latino,0,556396,0,
Oregon,Non-Hispanic American Indian or Alaska Native,0,57802,0,
Oregon,Non-Hispanic Asian,0,236038,0,
Oregon,Non-Hispanic Black,0,106362,0,
Oregon,Non-Hispanic White,157,3234115,48.54,
Pennsylvania,Hispanic or Latino,412,976143,422.07,
Pennsylvania,Non-Hispanic American Indian or Alaska Native,0,23161,0,
Pennsylvania,Non-Hispanic Asian,162,487423,332.36,
Pennsylvania,Non-Hispanic Black,1496,1470863,1017.09,
Pennsylvania,Non-Hispanic White,4832,9849470,490.58,
Rhode Island,Hispanic or Latino,51,168342,302.95,
Rhode Island,Non-Hispanic American Indian or Alaska Native,0,5341,0,
Rhode Island,Non-Hispanic Asian,0,39551,0,
Rhode Island,Non-Hispanic Black,47,71866,653.99,
Rhode Island,Non-Hispanic White,750,772215,971.23,
South Carolina,Hispanic or Latino,0,296046,0,
South Carolina,Non-Hispanic American Indian or Alaska Native,0,20642,0,
South Carolina,Non-Hispanic Asian,0,97601,0,
South Carolina,Non-Hispanic Black,350,1388472,252.08,
South Carolina,Non-Hispanic White,350,3281366,106.66,
South Dakota,Hispanic or Latino,0,36402,0,
South Dakota,Non-Hispanic American Indian or Alaska Native,0,77360,0,
South Dakota,Non-Hispanic Asian,0,16182,0,
South Dakota,Non-Hispanic Black,0,24214,0,
South Dakota,Non-Hispanic White,55,728077,75.54,
Tennessee,Hispanic or Latino,25,380772,65.66,
Tennessee,Non-Hispanic American Indian or Alaska Native,0,20790,0,
Tennessee,Non-Hispanic Asian,0,137783,0,
Tennessee,Non-Hispanic Black,173,1173407,147.43,
Tennessee,Non-Hispanic White,284,5057258,56.16,
Texas,Hispanic or Latino,1038,11368849,91.3,
Texas,Non-Hispanic American Indian or Alaska Native,0,105968,0,
Texas,Non-Hispanic Asian,80,1525785,52.43,
Texas,Non-Hispanic Black,504,3546013,142.13,
Texas,Non-Hispanic White,1033,12155230,84.98,
Utah,Hispanic or Latino,26,450218,57.75,
Utah,Non-Hispanic American Indian or Alaska Native,0,33271,0,
Utah,Non-Hispanic Asian,0,125416,0,
Utah,Non-Hispanic Black,0,46815,0,
Utah,Non-Hispanic White,85,2505385,33.93,
Vermont,Hispanic or Latino,0,12534,0,
Vermont,Non-Hispanic American Indian or Alaska Native,0,2758,0,
Vermont,Non-Hispanic Asian,0,13274,0,
Vermont,Non-Hispanic Black,0,10491,0,
Vermont,Non-Hispanic White,49,587242,83.44,
Virginia,Hispanic or Latino,227,820874,276.53,
Virginia,Non-Hispanic American Indian or Alaska Native,0,25851,0,
Virginia,Non-Hispanic Asian,111,627481,176.9,
Virginia,Non-Hispanic Black,466,1700311,274.07,
Virginia,Non-Hispanic White,1125,5343168,210.55,
Washington,Hispanic or Latino,151,970358,155.61,
Washington,Non-Hispanic American Indian or Alaska Native,0,114201,0,
Washington,Non-Hispanic Asian,105,801723,130.97,
Washington,Non-Hispanic Black,26,365856,71.07,
Washington,Non-Hispanic White,835,5283453,158.04,
West Virginia,Hispanic or Latino,0,30201,0,
West Virginia,Non-Hispanic American Indian or Alaska Native,0,3945,0,
West Virginia,Non-Hispanic Asian,0,16873,0,
West Virginia,Non-Hispanic Black,0,73131,0,
West Virginia,Non-Hispanic White,85,1681682,50.54,
Wisconsin,Hispanic or Latino,62,403955,153.48,
Wisconsin,Non-Hispanic American Indian or Alaska Native,0,57784,0,
Wisconsin,Non-Hispanic Asian,0,184194,0,
Wisconsin,Non-Hispanic Black,172,404595,425.12,
Wisconsin,Non-Hispanic White,472,4763040,99.1,
Wyoming,Hispanic or Latino,0,58227,0,
Wyoming,Non-Hispanic American Indian or Alaska Native,0,13333,0,
Wyoming,Non-Hispanic Asian,0,6828,0,
Wyoming,Non-Hispanic Black,0,8814,0,
Wyoming,Non-Hispanic White,0,490535,0,
